"","specname","slp","se.slp","p","N","lmer.slp","lmer.se"
"1","Cylindrotheca_closterium",-0.0543744299011417,0.000706985284406635,0,20548,-0.0529953631525946,0.0132642325501592
"2","Pseudo-nitzschia_delicatissima",-0.0286197528486788,0.00139344037928454,3.78163825049373e-90,5127,-0.0279570631355286,0.0218427324256146
"3","Actinoptychus_senarius",-0.0531475478472227,0.00318197113073134,1.59439674174177e-61,7520,-0.0574609688975679,0.0236637790487073
"4","Brockmanniella_brockmannii",-0.00616891743443122,0.00116574564142966,1.22544153888956e-07,17739,-0.048208473207069,0.0225088451422844
"5","Chaetoceros_danicus",-0.0241184340631365,0.00405440263289446,3.27978969980343e-09,1687,-0.0286447463478406,0.0252430501126157
"6","Leptocylindrus_minimus",-0.0310953354375768,0.00100657573617004,1.3340868493206e-201,11845,-0.0216204387105397,0.0169457193638539
"7","Odontella_aurita",0.037056544109242,0.00148035701488502,5.81009421296754e-135,12437,0.00503509564410024,0.020587640942809
"8","Odontella_aurita var. minima",-0.0075346839554467,0.00299200193261943,0.011838116528639,3444,-0.0338350493504227,0.0116377680741378
"9","Odontella_mobiliensis",-0.030213370286838,0.00265697231188065,1.3826520616516e-29,4810,-0.0378936808016821,0.0183939996833444
"10","Odontella_sinensis",-0.0120639316791607,0.00395991912239897,0.00234953170631016,1763,-0.0154636939147173,0.0175045776525291
"11","Plagiogrammopsis_vanheurckii",-0.0522698293775845,0.00116160565884625,0,7662,-0.0601106560013686,0.0231439757630901
"12","Rhizosolenia_setigera",-0.0528935690518082,0.0048594616449986,2.00979745853515e-27,9131,-0.033215027676876,0.0784413417480905
"13","Skeletonema_costatum",-0.0257879477404318,0.00162467885269215,3.20098538374417e-56,13350,-0.0317029683804076,0.0137657186493344
"14","Thalassiosira_minima",-0.0929629036043045,0.00143190309555593,0,24149,-0.126043739609766,0.0240768795953171
"15","Asterionellopsis_glacialis",-0.0843667788557758,0.000705133000261353,0,10997,-0.0846469022133886,0.00947683851772648
"16","Thalassionema_nitzschioides",-0.00206331654062777,0.00177966407969692,0.246328111256208,9553,-0.0213896798444993,0.0211925358469716
"17","Cymatosira_belgica",-0.343563929197456,0.00652917503148504,0,3272,-0.104940230979445,0.05064245060277
"18","Eunotogramma_dubium",-0.0986056646878915,0.00184191814320205,0,5411,-0.156778796628304,0.0286012993823384
"19","Odontella_rhombus",-0.0437129899571732,0.00881466698890162,1.47801754613879e-06,208,-0.0497813318201157,0.0203904905312392
"20","Paralia_sulcata",-0.0757555697262842,0.00246790449095332,6.91008124235358e-189,4740,-0.049441165436529,0.0175786208617661
"21","Guinardia_flaccida",-0.0144346329980937,0.00218077498355651,4.83394051850278e-11,1700,-0.0158143959104754,0.00981082915684719
"22","Lithodesmium_undulatum",0.0657944315657022,0.00281975250197343,8.31262076928891e-111,3005,0.0750249617316036,0.0199697013098183
"23","Rhizosolenia_imbricata",-0.00823258024900339,0.00165329770789042,6.5096621248701e-07,7934,-0.0123140442078369,0.0183615006690765
"24","Asteroplanus_karianus",-0.0693512162469513,0.00320683337207317,8.30352227782085e-98,3729,-0.0347264636825722,0.0341298331238352
"25","Delphineis_surirella",-0.147747664478604,0.00507063137631298,5.30790839920106e-152,1719,-0.244183588576457,0.0327877579821748
"26","Rhaphoneis_amphiceros",-0.082457842749807,0.00377338306024672,3.35997962731835e-95,2022,-0.119448230373424,0.0245002812313694
"27","Prorocentrum_minimum",0.0636163961020371,0.00794735983606737,7.24174410269969e-15,548,-0.0455232038412753,0.0368999050374192
"28","Pseudo-nitzschia_pungens",-0.0180061430322116,0.00123837849037148,2.20987836101813e-47,9372,-0.0223942236050481,0.0181908584661977
"29","Mediopyxis_helysia",0.00265272948588172,0.00142442554251371,0.0625885002020869,9823,-0.0199056779255114,0.0169290565235359
"30","Chaetoceros_densus",-0.0147300276690564,0.00470287010935996,0.0018163632228985,628,-0.0193924606418121,0.0163958078610008
"31","Chaetoceros_socialis",-0.130163504736252,0.00157786300370036,0,7022,-0.134227726074402,0.0171822664835169
"32","Guinardia_delicatula",0.00893877820336604,0.00136743685901015,6.58377069389305e-11,10130,0.0122087548923222,0.00742049576173767
"33","Helicotheca_tamesis",-0.0412362702172736,0.00940220914206529,2.00843121143719e-05,174,-0.0515033744321561,0.013223542743193
"34","Leptocylindrus_danicus",-0.0635888156603953,0.00158164013896665,4.19946271385329e-310,5504,-0.0616683204275594,0.00706486886915248
"35","Odontella_regia",0.111216417164181,0.00476236079998315,2.49610095311903e-100,1247,0.130078931997162,0.0372996042671464
"36","Rhizosolenia_similoides",-0.0842888884366331,0.00372332921576386,2.26070325012946e-89,862,-0.0550629287960582,0.036994452144878
"37","Rhizosolenia_styliformis",0.0274294510027471,0.0180905831773859,0.13249539312456,106,0.0243406191293933,0.0494093989129426
"38","Protoperidinium_bipes",0.074925581001207,0.00753397051031509,1.1262722589575e-20,350,0.0575385221348421,0.0271113069848506
"39","Thalassiosira_punctigera",-0.0534417605490635,0.00518748133647082,2.15363786819798e-23,766,-0.0745497889883873,0.018994027572925
"40","Eutreptiella_marina",-0.0891306463978311,0.00255288813218752,9.26315915040846e-202,1700,-0.084932930611054,0.0124224537587062
"41","Cerataulina_pelagica",-0.16691740121676,0.00850299448061742,3.08984851202337e-69,733,-0.202987304143929,0.0344283300222659
"42","Chaetoceros_curvisetus",-0.058777225902117,0.00419318797374136,8.38370704443795e-41,977,-0.100299793129814,0.0344744837011299
"43","Eucampia_zodiacus",0.000149367904829138,0.00287089918367085,0.958511117325573,2103,0.00085307570696596,0.0148898664608479
"44","Guinardia_striata",0.032945187424229,0.00486348302819474,2.41411029417721e-11,809,-0.0202405274688498,0.0327171907493053
"45","Lennoxia_faveolata",0.0716385102981918,0.00532582165533065,2.06045171658416e-29,192,0.0381108617902469,0.0190459530152969
"46","Heterocapsa_rotundata",-0.0764845959032101,0.0274445599745174,0.00622763698203812,117,0.00569600782448243,0.0470995934930504
"47","Coscinodiscus_radiatus",0.00410924169116522,0.0186883255106173,0.826460386709315,92,0.00219016258052206,0.0277588333154674
"48","Detonula_pumila",-0.0448899231637182,0.00496227132927634,3.59962847551607e-19,1877,-0.021693265997922,0.0286564666326199
"49","Thalassiosira_rotula",-0.0613632111906068,0.00244394261250686,3.06406107305439e-124,2499,-0.0617622465587585,0.0181043431499273
"50","Heterocapsa_triquetra",0.0540580244201562,0.0443987417822013,0.228408726497728,59,-0.0532729789363388,0.12784508308523
"51","Prorocentrum_triestinum",-0.0144847966984086,0.00233609101437798,8.2067236261857e-10,1008,-0.0155258165676159,0.0117743987274504
"52","Ditylum_brightwellii",-0.00234926580570867,0.0059649833369974,0.69376801038228,1186,-0.00529522189021656,0.0285611288569524
"53","Akashiwo_sanguinea",-0.0731588975359752,0.0124302831804419,7.65998265224453e-08,87,-0.05866560958696,0.0217544669878306
"54","Odontella_granulata",-0.0503697194554434,0.0759807588098265,0.53671117489093,7,-0.22304516449312,0.078673675120073
"55","Bacillaria_paxillifera",-0.0100026038788865,0.00365979762961365,0.00634340735234316,1596,-0.0371884068366188,0.0377016352283539
"56","Tripos_furca",0.0174299243919199,0.0196251375403187,0.400378129653486,10,0.0210476716663089,0.0246650316018094
"57","Prorocentrum_micans",-0.012785741812873,0.00532725940401036,0.0170163574744163,295,-0.00132917781067733,0.0139868625882478
"58","Chaetoceros_compressus",-0.0141768778854573,0.00868545968079833,0.103346280034209,439,-0.00971541402024996,0.0350771734402027
"59","Chaetoceros_affinis",-0.0148929228726028,0.00690686377743851,0.0348284509533205,66,0.0978779512885581,0.18833814068706
"60","Chaetoceros_diadema",-0.0825628238706247,0.0138962469172018,1.59884992957781e-08,169,-0.0580849875418771,0.0520891560971402
"61","Biddulphia_alternans",0.0116057295011193,0.00462181755541531,0.0122378020811892,781,0.0441445583769104,0.0225022811703204
"62","Actinoptychus_splendens",-0.0833615699082929,0.137374200504317,0.570466183393512,7,-0.190698965613665,0.274504184405032
"63","Tripos_horridus",0.00837671580089176,0.0179295513433529,0.641918049344913,67,-0.0360613212417508,0.0276161131612907
"64","Tripos_fusus",-0.0134860276746801,0.00777530002524576,0.0837628023055703,334,-0.0169944747516286,0.0111845473264766
"65","Bellerochea_malleus",0.0276308326332942,0.00512618757167725,1.72258706874575e-07,235,0.0487725195071483,0.0319982036703991
"66","Melosira_nummuloides",-0.12575535963523,0.0274754141129412,0.000133583288111321,25,-0.197735062169147,0.0868341448641922
"67","Proboscia_alata",0.0406283014362337,0.0244702978710152,0.114171654548286,20,0.0365366626075954,0.025157938402529
"68","Chaetoceros_eibenii",-0.0339247450418897,0.0151888952102559,0.0291320080332085,64,-0.0670740866850043,0.0658631642908953
"69","Katodinium_glaucum",-0.031191862062646,0.0364164593010155,0.400937373545767,24,-0.0373689678848964,0.0390173325235401
"70","Coscinodiscus_granii",-0.0423708218723618,0.0394490585700498,0.289394559785867,41,-0.0126839453898823,0.0717280586991993
"71","Bacteriastrum_hyalinum",-0.0190391484674272,0.00557634636842144,0.000685653597353512,564,-0.0142163952871979,0.0164334590396816
"72","Polykrikos_kofoidii",-0.00120615409544076,0.50482280788742,0.998310538847419,4,0.479572281651518,1.22693079005495
"73","Chaetoceros_debilis",-0.022683165183964,0.00182402979517236,6.66407365984684e-35,4279,-0.0341392109663771,0.0146922735258812
"74","Chaetoceros_subtilis",-0.128484649110747,0.0104403667978473,1.13282177446852e-27,259,-0.073354930403699,0.0679908527270714
